Monster Name,Description
Hill Giant," Hill giants are selfish, dimwitted brutes that hunt forage, and raid in constant search of food.  They blunder through hills and forests devouring what they can, ' bullying smaller creatures into feeding them. Their laziness and dullness would long ago have spelled their end if not for their formidable size and strength.  Primitive. Hill giants dwell in hills and mountain  valleys across the world, congregating in steadings built of rough timber or in clusters of well-defended mud and-wattle huts. Their skins are tan from lives spent lumbering up and down the hilly slopes and dozing beneath the sun. Their weapons are uprooted trees and rocks pulled from  the earth. The sweat of their bodies adds to the reek of the crude animal skins they wear, poorly stitched together with hair and leather thongs.  Bigger Means Better. In a hill giant's world, humanoids and animals are easy prey that can be hunted with impunity. Creatures such as dragons and other giants are tough adversaries. Hill giants equate size with power.  Hill giants don't realize they follow an ordning. They know only that other giants are larger and stronger than they are, which means they are to be obeyed. A hill giant tribe's chief is usually the tallest and fattest giant that can still move about. Only on rare occasion does a hill giant with more brains than bulk use its cunning to gain the favor of giants of higher status, cleverly subverting the social order.  Voracious Eaters. With nothing else to occupy them, hill giants eat as often as possible. A hill giant hunts and forages alone or with a dire wolf compan ion , so as to  not have to share with other tribe members. The giant eats anything that isn't obviously deadly, such as creatures known to be poisonous. Rotten meat is fair game, though, as are decaying plants and even mud.  Farmers fear and loathe hill giants. Where a predator  such as an ankheg might burrow through fields and consume a cow or two before being driven off,  a hill giant will consume a whole herd of cattle before moving on to sheep, goats, and chickens, then tearing into fruits, vegetables, and grain. If a farm family  is at hand, the giant might snack on them too.  Stupid and Deadly. The hill giants' ability to digest nearly anything has allowed them to survive for eons as savages, eating and breeding in the hills like animals. They have never needed to adapt and change, so their minds and emotions remain simple and undeveloped. With no culture of their own, hill giants ape the traditions of creatures they manage to observe for a time before eating them. They don't think about their own size and strength, however. Tribes of hill giants attempting to imitate elves have been known to topple entire forests by trying to live in trees. Others attempting to take over humanoid towns or villages get only as far as the doors and windows of a building, taking out its walls and roof as they attempt to enter.  In conversation, hill giants are blunt and direct, and they have little concept of deception. A hill giant might be fooled into running from another giant if a number of villagers cover themselves in blankets and stand on one  ""( "
Hippogriff,"Large monstrosity, unaligned  Armor Class 11 Hit Points 19  (3d10 + 3) Speed 40 ft., fly  60 ft. "
Homunculus,"Shaping a mixture of clay, ash, mandrake root, and blood, one can channel rare ritual magic to create a faithful, squirrel-sized companion.  A homunculus is a construct that acts as an extension  of its creator, with the two sharing thoughts, senses, and language through a mystical bond. A master can have only one homunculus at a time (attempts to create another one always fail),  and when its master dies, the homunculus also dies.  Shared Mind. A homunculus knows everything its creator knows, including all the languages the creator can speak and read. Likewise, everything the construct senses is known to its master, even over great distances, provided both are on the same plane. Functioning as a spy, a scout, an emissary, or a messenger, a homunculus is an invaluable servant for a spellcaster engaged in secret experimentation or adventuring.  r88"
Hook Horror,"A fierce predator of the Underdark, the hook horror aggressively defends its hunting grounds. The subterranean caverns where these creatures dwell echo with the constant clacking and scraping of their hooks as they wend their way up cliffs and along cavern walls. The monstrous hook horror has a head resembling a vulture's and the torso of an enormous beetle, with an exoskeleton studded by sharp, bony protuberances. It gains its name from  its long, powerfully built arms a.nd legs, which end in wickedly curved hooked claws.  Echoes in the Dark. Hook horrors communicate by striking their hooks against their exoskeletons or the stone surfaces around them. What sounds to others like random clacking noise is actually a complex language that only hook horrors understand, and which carries for  miles through the echoing Underdark.  Pack Predators. The omnivorous hook horrors eat lichens, fungi,  plants, and any creature they can catch. A hook horror's hooked limbs give it excellent purchase on rock surfaces, and these creatures use their climbing skills to ambush prey from  above. They hunt in packs, working together against the largest and most dangerous opponents. If a battle goes poorly, a hook horror quickly climbs a cavern wall to flee.  Dedicated Clans. Hook horrors live in extended family groups or clans. Each clan is ruled by the eldest female, who typically places her mate in charge of the clan's hunters. Hook horrors lay eggs, which are clustered in a central, well-defended area of a clan's home caverns.  !89"
Horned Devil,"Large fiend  (devil),  lawful evil  Armor Class 18  (natural armor) Hit Points 178  (17d10 + 55) Speed 20 ft.,  fly  60 ft. "
Hunter Shark,"Large  beast,  unaligned  Armor Class 12  (natural armo r) Hit Points 45  (6d10 + 12) Speed 0 ft ., swim 40ft. "
Hydra,"The hydra is a reptilian horror with a crocodilian body and multiple heads on long, serpentine necks. Although its heads can be severed, the hydra magically regrows ' them in short order. A typical specimen has five  heads.  At the dawn of time, Tiamat, the Queen of Evil  Dragons, slew a rival dragon god named Lernaea and cast her blood across the multiverse. Each drop that fell upon a world spawned a multi-headed hydra consumed by a hunger as great as the fallen god's hatred. Great champions are known to test their mettle against these fearsome creatures.  Everlasting Hunger. A rapacious and gluttonous monster, a hydra snatches and tears ~part its prey in a frenzy of feeding. When a hydra has cleared a territory of food  and driven off any creatures smart enough to avoid it, it moves on to seek its meals elsewhere. A hydra's hunger is so great that if it can't feed,  it might turn against itself, its heads attacking each other as the creature eats itself alive.  Hardy Water DweJJers. Hydras are natural  swimmers, dwelling in rivers, along lakeshores, in ocean shallows, and in wetland bogs. A hydra rarely requires shelter from the elements, so it doesn't normally have a lair. Only in colder climes are hydras drawn to the protection of sheltered caverns and ruins.  When a hydra sleeps, at least one of its heads remains  awake and alert, making the creature difficult to catch by surprise.  Huge  monstrosity, unaligned  Armor Class 15  (natural armor) Hit  Points 172  (15d12 + 75) Speed 30ft., swim  30ft. "
Hyena,"Medium  beast, unaligned  Armor Class 11 Hit Points 5 (1d8 + 1) Speed 50 ft . "
Ice Devil,"Large fiend  (devil),  lawful evil  Armor Class 18  (natural armor) Hit Points 180  (l9d10 + 76) Speed 40ft. "
Imp," Imps are found throughout the Lower Planes, either running errands for their infernal masters, spying on rivals, or misleading and waylaying mortals. An imp will proudly serve an evil master of any kind, but it can't be relied on to carry out tasks with any speed or efficiency. An imp can assume animal form  at will, but in its natural state it resembles a diminutive red-skinned humanoid with a barbed tail, small horns, and leathery wings. It strikes while invisible, attacking with its poison stinger. "
Intellect Devourer,"An intellect devourer resembles a walking brain protected by a crusty covering and set on bestial clawed legs. This foul  aberration feeds on the intelligence of sentient creatures, taking over a victim's body on behalf of its mind ftayer masters.  1/lithid Creations. Mind ftayers breed intellect  devourers to serve as roaming hunters of the Underdark, creating an intellect devourer by taking the brain of a thrall and subjecting it to a horrible ritual. As it sprouts legs, the brain becomes an intelligent predator as twisted and evil as its masters.  Deadly Puppet Masters. An  intellect devourer  consumes a creature's mind and memories, then turns the host body into a puppet under its control. An intellect devourer typically uses its puppet host to lure others into the domain of the mind flayers to  be enthralled or consumed. "
Jackal,"Small beast,  unaligned  Armor Class 12 Hit  Points 3 (1d6) Speed 40ft. "
Kenku,"Kenku are feathered humanoids that wander the world as vagabonds, driven by greed. They can perfectly imitate any sound they hear.  Fallen Flocks. Kenku wear ill-fitting cloaks, robes, and rags. These garments cover the soft, sleek feathers of their bodies, shrouding their bare arms and legs. They tread lightly when they walk, on talons made for grasping the branches of trees and seizing prey from the lofty skies. Soft as the wind they move, so as not to draw attention to their shameful forms.  Once, the kenku held the wind in their wings,  embracing the gusty sky and singing the sweet language of birdsong. Serving a master whose identity is now lost to their memory, the kenku coveted the glittering baubles of his household, and longed to speak so that they could cajole and swindle others out of such treasures. Stealing the secret of speech from a volume in their master's library, they disguised themselves in rags to  beg for pretty things. When their master learned of their greed, he stripped away their wings as punishment, forcing them to beg forever. Speech in Pantomime. Kenku can mimic the sound of anything they hear. A kenku asking for money might make the sound of coins clinking t9gether, and a  kenku referring to a busy marketplace can reproduce the cacophony of hawking vend9rs, barking dogs, bleating sheep, and the cries of street urchins. When mimicking voices, they can only repeat words and phrases they have heard, not create new sentences. To converse with a kenku is to witness a performance of imitated sounds and almost nonsensical verse.  Kenku speak to one another in much the same  way. Because they are adept at interpreting one another's glances and gestures, the sounds they make to communicate complex ideas or emotions can be succinct. Groups of kenku also develop secret codes. For example, a eat's meow might be the secret code for ""Prepare to attack!"" or ""Flee for your lives!""  Their talent for mimicry extends to handwriting, and  criminal organizations often employ kenku to forge documents. When a kenku commits a crime, it might forge evidence to implicate another creature.  The Wistful Wingless. All kenku pine for the ability  to fly,  and thus the punishments they mete out to one another often involve false wings, such as heavy wings of wood borne as a mark of shame. As a final,  tragic reminder of the wings they once had, kenku carry out executions by hurling their condemned from tall buildings or cliffs. "
Killer Whale,"Huge  beast,  unaligned  Armor Class  12  (natural armor) Hit  Points 90  (12d12 + 12) Speed 0 ft. , swim  60ft. "
Knight,"Medium  humanoid (any  race),  any alignment  Armor Class 18  (plate) Hit Points 52  (8d8 + 16) Speed 30ft. "
Kobold, Armor Class 12  '  Hit  Points 5 (2d6 - 2)  Speed  30ft. 
Kraken,"Gargantuan monstrosity (titan), chaotic evil  Armor Class 18  (natural armor) Hit Points 472  (27d20 + 189) Speed 20ft., swim 60ft. "
Kuo-toa,"Medium  humanoid (kuo-toa),  neutral evil  Armor Class 13  (natural armor, shield) Hit Points 18  (4d8) Speed 30ft., swim 30ft. "
Lemure," A lemure arises when a mortal soul is twisted by evil and banished to the Nine Hells for  eternity. The lowest type of devil, lemures are repugnant, shapeless creatures doomed to suffer torment until they are promoted to a higher form of devil, most commonly an imp.  A lemure resembles a molten mass of flesh with a vaguely humanoid head and torso. A permanent expression of anguish twists across its face,  its feeble mouth babbling even though it can't speak. "
Lich,"Liches are the remains of great wizards who embrace undeath as a means of preserving themselves. They further their own power at any cost, having no interest in the affairs of the living except where those affairs interfere with their own. Scheming and insane, they hunger for  long-forgotten knowledge and the most terrible secrets. Because the shadow of death doesn't hang over them, they can conceive plans that take years, decades, or centuries to come to fruition.  A lich is a gaunt and skeletal humanoid with  withered flesh stretched tight across its bones. Its eyes succumbed to decay long ago, but points of light burn in its empty sockets. It is often garbed in the moldering remains of fine clothing and jewelry worn and dulled by the passage of time.  Secrets ofUndeath. No wizard takes up the path to lichdom on a whim, and the process of becoming a lich is a well-guarded secret. Wizards that seek lichdom must make bargains with fiends, evil gods, or other foul entities. Many turn to Orcus, Demon Prince of Undeath, whose power has created countless liches. However, those that control the power of lichdom always demand fealty and service for their knowledge.  A lich is created by an arcane ritual that traps the wizard's soul within a phylactery. Doing so binds the soul to the mortal world, preventing it from  traveling to the Outer Planes after death. A phylactery is traditionally an amulet in the shape of a small box, but it can take the form of any item possessing an interior space into which arcane sigils of naming, binding, immortality, and dark magic are scribed in silver.  With its phylactery prepared, the future lich drinks a  potion of transformation-a vile concoction of poison mixed with the blood of a sentient creature whose soul is sacrificed to the phylactery. The wizard falls dead, then rises as a lich as its soul is drawn into the phylactery, where it forever remains.  Soul Sacrifices. A lich must periodically feed souls to  its phylactery to sustain the magic preserving its body and consciousness. It does this using the imprisonment spell. Instead of choosing one of the normal options of the spell, the lich uses the spell to  magically trap the target's body and soul inside its phylactery. The phylactery must be on the same plane as the lich for the spell to work. A lich's phylactery can hold only one creature at a time, and a dispel magic cast as a 9th-level spell upon the phylactery releases any creature imprisoned within it. A creature imprisoned in the phylactery for 24 hours is consumed and destroyed utterly, whereupon nothing short of divine intervention can restore it to life.  A lich that fails or forgets to maintain its body with  sacrificed souls begins to  physically fall  apart, and might eventually become a demilich.  Death and Restoration. When a lich's body is broken by accident or assault, the will and mind of the lich drains from it, leaving only a lifeless corpse behind. Within days, a new body reforms next to the lich's phylactery, coalescing out of glowing smoke that issues from the device. Because the destruction of  its phylactery means the possibility of eternal death, a lich usually keeps its phylactery in a hidden, well guarded location.  Destroying a lich's phylactery is no easy task and often requires a special ritual, item, or weapon. Every phylactery is unique, and discovering the key to its destruction can be a quest in and of itself.  Lonely Existence. From time to  time, a lich might be !  stirred from its single-minded pursuit of power to .take an interest in the world around it,  most often when some great event reminds it of the life it once led. It otherwise lives in isolation, engaging only with those creatures  ~  ,. whose service helps secure its lair.  Few liches call themselves by their former names, instead adopting monikers such as the Black Hand or the Forgotten King.  Magic Collectors. Liches collect spells and magic items. In addition to its spell repertoire, a lich has ready access to potions, scrolls, libraries of spell books, one or more wands, and perhaps a staff or two. It has no qualms about putting these treasures to  use whenever its lair comes under attack.  Undead Nature. A lich doesn't require air, food,  drink, or sleep.  A LicH's LAIR A lich often haunts the abode it favored  in life, such as a lonely tower, a haunted ruin, or an academy of black magic. Alternatively, some liches construct secret tombs filled with powerful guardians and traps.  Everything about a lich's lair reflects its keen mind and wicked cunning, including the magic and mundane traps that secure it. Undead, constructs, and bound demons lurk in shadowy recesses, emerging to destroy those who dare to disturb the lich's work.  A lich encountered in its lair has a challenge rating of "
Lion,"Large beast,  unaligned  Armor Class  12 Hit Points 26  (4d10 + 4) Speed 50 ft. "
Lizard,"Tiny beast,  unaligned  Armor Class 1 0 Hit Points 2  (ld4) Speed 20ft., climb 20 ft.  .,  l  MASTiFF ' Medium beast, 'un~ligned  Armor Class 12 Hit Points 5  (ld8 +  1) Speed 40 ft. "
Mage,"Medium  humanoid (any  race),  any alignment  Armor Class 12  (15  with mage armor) Hit Points 40  (9d8) Speed 30ft. "
Magma Mephit," Composed of earth and fire, magma mephits glow a dull red color as they perspire beads of molten lava. They are slow to comprehend the meaning of others' words and actions.  Mun MEPHIT  Mud mephits are slow, unctuous creatures of earth and water. They drone their complaints to all who will listen, and beg incessantly for  attention and treasure.  Armor Class  11 Hit  Points 22  (5a6 + 5) Speed 30ft., fly  30ft. "
Mammoth,"Huge beast, unaligned  Armor Class 13  (natura l armor) Hit Points 126 (11d12 + 55) Speed 40ft. "
Manes," Souls of evil creatures that descend to the Lower Planes are transformed into manes-the lowest form of demonkind. These wretched fiends attack any non demon they see, and they are called to the Material Plane by those seeking to sow death and chaos.  Orcus, the Prince of Undeath, has the power to transform manes into undead monsters, most often ghouls and shadows. Other demon lords feed on manes, destroying them utterly. Otherwise, killing a  manes causes it to dissipate into a cloud of reeking vapor that reforms into another manes after one day. "
Marid," Hailing from the Elemental Plane of Water, the marids are the most wondrous of genie-kind. Although all genies wield great power, even the lowliest marid sees itself as clearly superior to  the flighty djinn, the ground hugging dao, and the fuming efreet.  Large and piscine, marids are a strange sight to  behold, particularly when clad in the finely stitched vests and colorful pantaloons they favor.  They speak in voices as soft as the sea breeze or as sonorous as storm waves breaking against a  rocky cliff. In flight,  their lower bodies transform into columns of foamy water.  Water Lords. Water is a marid's native element, and the genie can manipulate water in virtually any way it desires. A marid can walk on water and breathe naturally beneath its surface. It can create water or shape clouds of fog  and mist from the vapor in the air. It can even transform itself into mist, or use water as a weapon to  bludgeon its foes.  Marid Homes. Marids are rare on the Material Plane.  They inhabit mighty and majestic coral fortresses located in the Elemental Plane of Water. These citadels float in the depths of the plane and contain opulent, air filled chambers where slaves and guests reside.  A marid doesn't expect much from its slaves, simply  wanting to have them for the status of ownership. Marids go out of their way to obtain skilled slaves, and aren't above kidnapping mortal artists, entertainers, or storytellers for use in their courts.  Egotistical Hierarchs. All  mar ids claim a title of  nobility, and the race is awash in shahs, sultans, muftis, and khedives. Most of these titles are mere pretense on the part of the self-important marids.  Marids treat all others-including other genies- as inferiors of various grades, ranging from poor cousins to petty annoyances. They tolerate djinn, dislike dao, and despise efreet.  Humanoids are among the lowest of the creatures that marids must tolerate, although they sometimes deal with powerful wizards and exceptional leaders on an almost-equal footing. Doing so has sometimes proven to be a mistake, since wizards have managed to imprison marids in conch shells, flasks, and decanters over the ages. Bribery and flattery are the best means of dealing with marids, to which an obsequious mortal is a creature that knows its place.  Whimsical Storytellers. Marids are champion tale tellers, whose favorite legends emphasize the prowess of marids in general and of the speaker in particular. Fanciful genies, they lie often and creatively. They aren't always malicious in their deception, but embellishments suit their fancy.  Marids consider it a crime for a lesser being to interrupt one of their tales, and offending a marid is a sure way to invoke its wrath."
Marid,"Large elemental, chaotic neutral  Armor Class  17  (natural armor) Hit Points 229  (17d10 + 136) Speed  30ft., fly  60ft., swim 90ft. "
Marilith,"balor,  goristro  5~"
Marilith," Terrible to behold, a marilith has the lower body of a great serpent and the upper torso of a humanoid female with six arms.  Wielding a wicked blade in each of its six hands, a  marilith is a devastating foe that few can match in battle. These demons possess keen minds and a finely honed sense of tactics, and they are able to lead and unite other demons in common cause. Mariliths are often encountered as captains at the head of a demonic horde, where they embrace any opportunity to rush headlong into battle. "
Medusa,"As deadly as they are ravishing, the serpent-haired medusas suffer an immortal curse brought on by their vanity. They lurk in quiet exile among the tumbled ruins of their former lives, surrounded by the petrified remains of past admirers and would-be heroes.  Immortal Splendor. Men and women who desire  eternal youth, beauty, and adoration might pray to malicious gods, beg dragons for ancient magic, or seek out powerful archmages to fulfill  their wishes. Others make sacrifices to demon lords or archdevils, offering all in exchange for  this gift, oblivious to the curse that accompanies it. Those who strike such bargains gain physical beauty, restored youth, immortality, and the adoration of all who behold them, granting them the influence and power they so desire. However, after years of the living like a demigod among mortals, the price for their vanity and hubris is exacted, and they are forever transformed into medusas. A medusa's hair turns into a nest of venomous serpents, and all who gaze upon the medusa are petrified, becoming stone monuments to its c.orruption.  214"
Merfolk,"Aquatic humanoids with the upper body of a  human and the lower body of a fish,  merfolk adorn their skin and scales with shell decorations.  Merfolk tribes and kingdoms span the world, and their people are as varied in color, culture, and outlook as the human races of the surface. Land folk and mer folk rarely meet except by chance, though star-eyed mariners tell tales of romance with these creatures along the shoals of faraway islands.  Merfolk lack the materials and practical means to forge weapons beneath the waves, to write books and keep lore, or to shape stone to raise buildings and cities. As a result, most live in small hunter-gatherer tribes, each of which holds unique values and creeds. Only occasionally do mer folk unite under the rule of a single leader. They do so to face a common threat or to complete a conquest. Such unifications can be the beginning of undersea kingdoms with dynasties lasting hundreds of years.  Merfolk Settlements. Merfolk build their settlements  in vast undersea caverns, mazes of coral, the ruins of sunken cities, or structures they carve from the rocky seabed. They live in water shallow enough that the passage of time can be marked by the gleam and fade of sunlight through the water. In the reefs and trenches near their settlements, merfolk harvest coral and farm the seabed, shepherding schools of fish as land-based farmers tend sheep. Only rarely do merfolk venture into the darkest depths of the ocean. In such depths and in their undersea caverns, merfolk rely on the light of bioluminescent flora and fauna, such as jellyfish, whose slow pulsing movements lend merfolk settlements an otherworldly aesthetic.  Merfolk defend their communities with spears  crafted from whatever materials they can salvage from shipwrecks, beaches, and dead undersea creatures. "
Merrow,"Merrow haunt coastal waters, preying on fisherfolk, merfolk, and any other edible creature that crosses their path. These savage monsters snatch and devour unwary prey, hauling drowned corpses back to their underwater grottoes to  feed.  Transformed Merfolk. Long ago, a tribe of merfolk found an idol of Demogorgon at the bottom of the sea. Not knowing what it was, they brought the artifact to their king. Everyone who touched the idol became afflicted with madness, including the king, who decreed that a sacrificial ritual be performed to open a gateway to  the Abyss. The ocean turned red with the blood of slaughtered merfolk, but the ritual worked, and the king led the survivors through the underwater gate to Demogorgon's layer of the Abyss. The merfolk remained there for generations, fighting for their lives as the Abyss warped them completely, transforming them into hulking, evil monstrosities. Thus, the first merrow were born.  Coastal Bullies. Whenever an opportunity presents  itself, the Prince of Demons sends merrow back to the Material Plane to wreak havoc in the oceans. The merrow are bullies, attacking all creatures smaller and weaker than themselves.  Merrow dwell in undersea caves filled with treasures  and trophies, taken from their victims and sunken ships. They tie the rotting corpses of dead enemies and drowned sailors to strands of kelp to mark the borders of their territory. "
Mimic,"Medium  monstrosity  (shapechanger),  neutral  Armor Class 12  (natural armor) Hit Points 58  (9d8 + 18) Speed 15ft. "
Minotaur,"A minotaur's roar is a savage battle cry that most civilized creatures fear. Born into the mortal realm by demonic rites, minotaurs are savage conquerors and carnivores that live for the hunt. Their brown or black fur is stained with the blood of fallen foes, and they carry the stench of death.  The Beast Within. Most minotaurs are solitary carnivores that roam labyrinthine dungeons, twisting caves, primeval woods, and the maze-like streets and passages of desolate ruins. A minotaur can visualize every route it might take to close the distance to its prey.  The scent of blood, the tearing of flesh, and the cracking of bones spur a minotaur's lust for carnage, overwhelming all thought and reason. In a blood rage, a minotaur charges anything it sees, butting and goring like a battering ram, then chopping the fallen in twain. Apart from ambushing creatures that wander into its labyrinth, a minotaur cares little for strategy or tactics. Minotaurs seldom organize, they don't respect authority or hierarchy, and they are notoriously difficult to enslave, let alone control.  Cults of the Horned King. Minotaurs are the dark descendants of humanoids transformed by the rituals of cults that reject the oppression of authority by returning to nature. Inductees often mistake these cults for druidic circles or totemic religions whose ceremonies involve entering a labyrinth while wearing a ceremonial animal mask.  Within these bounded environments, cultists hunt, kill, and eat wild beasts, indulging their basest primal urges. In the end, however, sacrificial animals are exchanged for humanoid sacrifice- sometimes an inductee that tried to escape the cult after learning its secrets. These labyrinths become blood-soaked halls of slaughter, echoing to the cultists' savagery.  Unknown to all but their highest-ranking leaders, these mystery cults are creations of the demon lord Baphomet, the Horned King, whose layer of the Abyss is a gigantic labyrinth. Some of his followers are fervent supplicants that plead for strength and power. Others come to the cult seeking a life free from authority's chains- and are liberated of their humanity instead as Baphomet transforms them into the minotaurs that echo his own savage form.  Although they begin as creations of the Horned King, minotaurs can breed true with one another, giving rise to an independent race of Baphomet's savage children in the world.  Large monstrosity, chaotic evil  Armor Class 14  (natural armor) Hit Points 76  (9d10 + 27) Speed 40ft. "
Monodrone, A monodrone can perform one simple task at a time and can relay a single message of up to forty-eight words. 
Mule,"Medium  beast,  unaligned  Armor Class 1 0 Hit Points 11  (2d8 + 2) Speed 40ft.  OwL Tiny beast,  unaligned  Armor Class 11 Hit Points 1 (ld4- 1) Speed 5 ft.,  fly  60ft. "
Mummy,"Medium  undead,  lawful evil  Armor Class  11  (natural armor) Hit Points 58  (9d8 + 18) Speed  20ft. "
Mummy Lord," In the tombs of the ancients, tyrannical monarchs and the high priests of dark gods lie in dreamless rest, waiting for the time when they might reclaim their thrones and reforge their ancient empires. The regalia of their terrible rule still adorns their linen-wrapped bodies, their moldering robes stitched with evil symbols and bronze armor etched with devices of dynasties that fell a thousand years before.  Under the direction of the most powerful priests, the ritual that creates a mummy can be increased in potency. The mummy lord that rises from such a ritual retains the memories and personality of its former life, and is gifted with supernatural resilience. Dead emperors wield the same infamous rune-marked blades that they did in legend. Sorcerer lords work the forbidden magic that once controlled a terrified populace, and the dark gods reward dead priest-kings' prayers by imparting divine spells.  Heart of the Mummy Lord. As part of the ritual that creates a mummy lord, the creature's heart and viscera are removed from the corpse and placed in canopic jars. These jars are usually carved from limestone or made of pottery, etched or painted with religious hieroglyphs.  As long as its shriveled heart remains intact, a mummy lord can't be permanently destroyed. When it drops to 0 hit points, the mummy lord turns to dust and re-forms at full strength 24 hours later, rising out of dust in close proximity to the canopic jar containing its heart. A mummy lord can be destroyed or prevented from re-forming by burning its heart to ashes. For this reason, a mummy lord usually keeps its heart and viscera in a hidden tomb or vault.  The mummy lord's heart has AC 5, 25 hit points, and  immunity to all damage except fire. "
Nalfeshnee,"marilith balor,  goristro  5~"
Nalfeshnee," The nalfeshnee is one of the most grotesque demons- a corpulent mockery of ape and boar standing twice the height of a human, with feathered wings that seem · too small for its bloated body. These brutish features conceal a remarkable intelligence and cunning. Nalfeshnees are devastating in combat, using their wings to soar above the front ranks and reach vulnerable adversaries that can be dispatched with little effort From the thick of battle, they telepathically bellow commands to lesser demons, even as they inspire a sense of dread that forces their foes to scatter and run. Nalfeshnees feed on hatred and despair, but they crave humanoid flesh above all else. They keep their larders filled with humanoids abducted from  the Material Plane, then eat those creatures alive during elaborate feasts. Thinking of themselves as refined and cultured, nalfeshnees employ stained and rusted cutlery when they dine. "
Nightmare,"A nightmare appears in a cloud of roiling smoke, its mane, tail, and hooves wreathed in flame. The creature's unearthly black form moves with supernatural speed, vanishing in a cloud of brimstone as quickly as it appeared.  Dread Steed. Also called a ""demon horse"" or ""hell horse,"" the nightmare serves as a steed for creatures of exceptional evil, carrying demons, devils, death knights, liches, night hags, and other vile monsters. It resembles a fiendish horse, and a nightmare's fiery red eyes betray its malevolent intelligence.  A nightmare can be summoned from the Lower  Planes, but unless a worthy sacrifice is offered to it as food  upon its arrival, the nightmare displays no special loyalty to the creature it serves.  Creating a Nightmare. Nightmares don't appear naturally in the multiverse. They must be created from pegasi. The ritual that creates a nightmare requires the torturous removal of a pegasus's wings, driving that noble creature to evil as it is transformed by dark magic.  235"
Noble,"Medium  humanoid (any  race), any alignment  Armor Class 15  (breastplate) Hit Points 9  (2d8) ' Speed 30 ft. "
Nycaloth,"The elite airborne shock troops of the yugoloths, nycaloths look like muscular gargoyles. Powerful bat wings bear them swiftly aloft in battle, and the razor sharp claws of their hands and feet cut through flesh and bone with ease. A nightmarish foe,  a nycaloth strikes hard and fast without warning, then teleports away. It uses its innate magic to  turn invisible or create illusory doubles of itself, further confounding its enemies.  Nycaloths are the most loyal of the yugoloths. When they find an evil master that treats them well, they are unlikely to  break their agreement unless the reward for doing so is extreme. "
Octopus,"Small beast, unaligned  Armor Class 12 Hit  Points 3 (1d6) Speed 5 ft.,  swim  30ft. "
Ogre,"Large giant, chaotic evil  Armor Class 11  (hide armor) Hit Points  59  (7d10 + 21) Speed 40ft. "
Oni,"In nursery rhymes, oni are fearsome bogeymen that haunt the nightmares of children and adults alike, yet they are very real and always hungry. They find human babies especially delicious. Oni look like demonic ogres with blue or green skin, dark hair, and a pair of s hort ivory horns protruding from their foreheads. Their eyes are dark with strikingly white pupils, and their teeth and claws are jet black.  Night Haunters. By the light of day, an oni hides its true form with magic, gaining the trust of those it intends to betray when darkness descends. These creatures can change their size as well as their shape, appearing as humanoids as they pass through towns, pretending to be travelers, woodcutters, or frontier folk. In such a form, an oni takes stock of the selection of humanoids in a settlement and devises ways to abduct and devour some of them.  Magical Ogres. Oni are sometimes called ogre mages  because of their innate magical ability. Though they are only distantly related to true ogres, they share the ogres' habit of joining forces with other evil creatures. An oni serves a master if doing so proves lucrative or provides it with a luxurious, well-defended home. Oni covet magic, and they work for evil wizards and hags in exchange for useful magic items.  locK T>< E  DOOR"
Orog,"Medium  humanoid (ore),  chaotic evil  Skills  Intimidation +3,  Religion  +1 Senses darkvision  60ft., passive  Perception  11 Languages Common, Ore Challenge 2 (450 XP)  Armor Class  18  (plate) Hit  Points 42  (5d8 + 20) Speed  30ft.  Aggressive. As  a bonus action,  the ore can  move  up to  its  speed toward  a hostile creature that it can see.  Gruumsh's Fury.  The ore deals an  extra 4 (ld8)  damage when  it hits with  a weapon attack  (included  in  the attack).  Spellcasting. The ore is  a 3rd-level spellcaster. Its  spellcasting ability is  Wisdom  (spell  save  DC  11,  +3  to  hit with  spell  attacks). The ore has the following cleric spells  prepared:  Cantrips  (at-will):  guidance,  resistance,  thaumaturgy 1st level  (4  slots): bless,  command 2nd  level  (2 slots): augury,  spiritual weapon  (spear) "
Owl,"Tiny beast,  unaligned  Armor Class 11 Hit Points 1 (ld4- 1) Speed 5 ft.,  fly  60ft. "
